symbol,assets,open,high,low,ltP,chn,per,qty,trdVal,nav,wkhi,wklo,xDt,cAct,yPC,mPC,prevClose,stockIndClosePrice,nearWKH,nearWKL,chartTodayPath,perChange365d,date365dAgo,chart365dPath,date30dAgo,perChange30d,chart30dPath,meta
AXISCETF,NIFTY India Consumption Index,118.13,131.26,114.04,120.67,4.29,3.69,14933,1717444.33,116.0295,140,83.01,-,-,24.50474618241849,2.532075792335801,116.38,0,13.807142857142855,-45.36802794843994,https://nsearchives.nseindia.com/today/AXISCETFEQN.svg,20.08,10-Jan-2024,https://nsearchives.nseindia.com/365d/AXISCETF-EQ.svg,10-Dec-2024,-1.11,https://nsearchives.nseindia.com/30d/AXISCETF-EQ.svg,"{'symbol': 'AXISCETF', 'companyName': 'AXIS MUTUAL FUND - Axis NIFTY India Consumption ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF846K016C7', 'slb_isin': 'INF846K016C7', 'listingDate': '2021-09-23', 'isMunicipalBond': False, 'quotepreopenstatus': {'equityTime': '10-Jan-2025 16:00:00', 'preOpenTime': '10-Jan-2025 09:07:46', 'QuotePreOpenFlag': False}}"
SBIETFIT,Nifty IT Index,464.09,480,453.03,478.65,16.37,3.54,8723,4125019.47,462.4926,504.1,341,-,-,30.248442134479838,-1.103328581169039,462.28,0,5.0486014679627145,-40.366568914956005,https://nsearchives.nseindia.com/today/SBIETFITEQN.svg,25.79,10-Jan-2024,https://nsearchives.nseindia.com/365d/SBIETFIT-EQ.svg,10-Dec-2024,-4.49,https://nsearchives.nseindia.com/30d/SBIETFIT-EQ.svg,"{'symbol': 'SBIETFIT', 'companyName': 'SBI Mutual Fund-SBI ETF IT', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF200KA1S14', 'slb_isin': 'INF200KA1S14', 'listingDate': '2020-10-22', 'isMunicipalBond': False, 'quotepreopenstatus': {'equityTime': '10-Jan-2025 16:00:00', 'preOpenTime': '10-Jan-2025 09:07:46', 'QuotePreOpenFlag': False}}"
ITBEES,Nifty IT TRI,46.37,48.05,46.37,47.88,1.51,3.26,7797177,371457512.28,46.3329,49.76,34.01,-,-,30.250272034820473,-1.237623762376226,46.37,0,3.778135048231502,-40.78212290502795,https://nsearchives.nseindia.com/today/ITBEESEQN.svg,26.14,10-Jan-2024,https://nsearchives.nseindia.com/365d/ITBEES-EQ.svg,10-Dec-2024,-4.35,https://nsearchives.nseindia.com/30d/ITBEES-EQ.svg,"{'symbol': 'ITBEES', 'companyName': 'Nippon India Mutual Fund - Nippon India ETF Nifty IT', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF204KB15V2', 'slb_isin': 'INF204KB15V2', 'listingDate': '2020-07-01', 'isMunicipalBond': False, 'quotepreopenstatus': {'equityTime': '10-Jan-2025 16:00:00', 'preOpenTime': '10-Jan-2025 09:07:46', 'QuotePreOpenFlag': False}}"
ITETF,Mirae Asset Nifty IT ETF,44.27,45.75,44.1,45.52,1.42,3.22,148321,6739706.24,44.098,48.05,31,-,-,29.834569309754706,-1.386481802426329,44.1,0,5.2653485952133074,-46.83870967741936,https://nsearchives.nseindia.com/today/ITETFEQN.svg,25.78,10-Jan-2024,https://nsearchives.nseindia.com/365d/ITETF-EQ.svg,10-Dec-2024,-4.46,https://nsearchives.nseindia.com/30d/ITETF-EQ.svg,"{'symbol': 'ITETF', 'companyName': 'Mirae Asset Mutual Fund - Mirae Asset Nifty IT ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF769K01KV5', 'slb_isin': 'INF769K01KV5', 'listingDate': '2023-10-27', 'isMunicipalBond': False, 'quotepreopenstatus': {'equityTime': '10-Jan-2025 16:00:00', 'preOpenTime': '10-Jan-2025 09:07:46', 'QuotePreOpenFlag': False}}"
SBINEQWETF,Nifty50 Equal Weight,29.84,30.39,29.03,30.39,0.93,3.16,19918,583995.76,29.4704,34.57,28.73,-,-,Infinity,-0.5237315875613753,29.46,0,12.091408735898177,-5.777932474765054,https://nsearchives.nseindia.com/today/SBINEQWETFEQN.svg,-,-,-,10-Dec-2024,-3.57,https://nsearchives.nseindia.com/30d/SBINEQWETF-EQ.svg,"{'symbol': 'SBINEQWETF', 'companyName': 'SBI Mutual Fund - SBI Nifty50 Equal Weight ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF200KB1282', 'slb_isin': 'INF200KB1282', 'listingDate': '2024-07-23', 'isMunicipalBond': False, 'quotepreopenstatus': {'equityTime': '10-Jan-2025 16:00:00', 'preOpenTime': '10-Jan-2025 09:07:46', 'QuotePreOpenFlag': False}}"
AXISTECETF,NIFTY IT Index,466.39,475.8,455,472.99,13.95,3.04,4559,2145374.22,459.5042,498.96,333.05,-,-,29.30643265261488,-1.6080046596771547,459.04,0,5.204826038159366,-42.01771505779913,https://nsearchives.nseindia.com/today/AXISTECETFEQN.svg,25.49,10-Jan-2024,https://nsearchives.nseindia.com/365d/AXISTECETF-EQ.svg,10-Dec-2024,-4.51,https://nsearchives.nseindia.com/30d/AXISTECETF-EQ.svg,"{'symbol': 'AXISTECETF', 'companyName': 'AXIS MUTUAL FUND - AXIS NIFTY IT ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF846K01Y96', 'slb_isin': 'INF846K01Y96', 'listingDate': '2021-03-31', 'isMunicipalBond': False, 'quotepreopenstatus': {'equityTime': '10-Jan-2025 16:00:00', 'preOpenTime': '10-Jan-2025 09:07:46', 'QuotePreOpenFlag': False}}"
NIFITETF,UTI Nifty IT ETF,443.11,455.14,443.11,451.93,13.13,2.99,4282,1937904.74,437.5639,469.99,321.68,-,-,Infinity,-1.280062910941701,438.8,0,3.842634949679781,-40.49054961452375,https://nsearchives.nseindia.com/today/NIFITETFEQN.svg,-,-,-,10-Dec-2024,-4.15,https://nsearchives.nseindia.com/30d/NIFITETF-EQ.svg,"{'symbol': 'NIFITETF', 'companyName': 'UTI Mutual Fund - UTI Nifty IT ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF789F1AZD8', 'listingDate': '2024-02-01', 'isMunicipalBond': False, 'quotepreopenstatus': {'equityTime': '10-Jan-2025 16:00:00', 'preOpenTime': '10-Jan-2025 09:07:46', 'QuotePreOpenFlag': False}}"
HDFCNIFIT,HDFC NIFTY IT ETF,44.71,46.3,44.57,45.9,1.33,2.98,136986,6310945.02,44.5043,47.74,32.59,02-FEB-24,FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 299.92/- PER SHARE TO RS 29.992/- PER SHARE,-86.99495664985551,-1.26909012690902,44.57,0,3.854210305823216,-40.840748695918975,https://nsearchives.nseindia.com/today/HDFCNIFITEQN.svg,-87.37,10-Jan-2024,https://nsearchives.nseindia.com/365d/HDFCNIFIT-EQ.svg,10-Dec-2024,-4.13,https://nsearchives.nseindia.com/30d/HDFCNIFIT-EQ.svg,"{'symbol': 'HDFCNIFIT', 'companyName': 'HDFC Mutual Fund - HDFC NIFTY IT ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF179KC1IA8', 'slb_isin': 'INF179KC1IA8', 'listingDate': '2022-11-22', 'isMunicipalBond': False, 'quotepreopenstatus': {'equityTime': '10-Jan-2025 16:00:00', 'preOpenTime': '10-Jan-2025 09:07:46', 'QuotePreOpenFlag': False}}"
TECH,Nifty IT TRI Index,45.98,46.94,45.78,46.55,1.3,2.87,30414,1403606.1,45.228,49.77,33.2,-,-,27.91975817532288,-1.7103040540540588,45.25,0,6.469760900140658,-40.21084337349396,https://nsearchives.nseindia.com/today/TECHEQN.svg,24.35,10-Jan-2024,https://nsearchives.nseindia.com/365d/TECH-EQ.svg,10-Dec-2024,-4.46,https://nsearchives.nseindia.com/30d/TECH-EQ.svg,"{'symbol': 'TECH', 'companyName': 'Aditya Birla Sun Life Mutual Fund - Aditya Birla Sun Life Nifty IT ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF209KB11D8', 'slb_isin': 'INF209KB11D8', 'listingDate': '2021-11-03', 'isMunicipalBond': False, 'quotepreopenstatus': {'equityTime': '10-Jan-2025 16:00:00', 'preOpenTime': '10-Jan-2025 09:07:46', 'QuotePreOpenFlag': False}}"
ITETFADD,DSP Nifty IT ETF,44.86,45.86,44.69,45.44,1.24,2.81,34845,1565934.3,44.0931,48.66,32,-,-,Infinity,-1.4530470613749766,44.2,0,6.617344841759143,-41.99999999999999,https://nsearchives.nseindia.com/today/ITETFADDEQN.svg,-,-,-,10-Dec-2024,-4.14,https://nsearchives.nseindia.com/30d/ITETFADD-EQ.svg,"{'symbol': 'ITETFADD', 'companyName': 'DSP Mutual Fund - DSP Nifty IT ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF740KA1SX1', 'slb_isin': 'INF740KA1SX1', 'listingDate': '2023-07-13', 'isMunicipalBond': False, 'quotepreopenstatus': {'equityTime': '10-Jan-2025 16:00:00', 'preOpenTime': '10-Jan-2025 09:07:46', 'QuotePreOpenFlag': False}}"
