symbol,assets,open,high,low,ltP,chn,per,qty,trdVal,nav,wkhi,wklo,prevClose,stockIndClosePrice,perChange365d,perChange30d,date365dAgo,date30dAgo,ypc,xdt,cact,mpc,nearWKH,nearWKL,chartTodayPath,chart30dPath,chart365dPath,meta
MOGOLD,Domestic Price of Physical Gold,112.95,115.45,111.5,115.45,4.5,4.06,1257581,143049838.75,108.4635,115.45,96.3,110.95,0,0,12.07,,22-Aug-2025,Infinity,-,-,15.855494229804313,0,-19.885773624091385,https://nsearchives.nseindia.com/today/MOGOLDEQN.svg,https://nsearchives.nseindia.com/30d/MOGOLD-EQ.svg,https://nsearchives.nseindia.com/365d/MOGOLD-EQ.svg,"{'symbol': 'MOGOLD', 'companyName': 'Motilal Oswal Mutual Fund - Motilal Oswal Gold ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF247L01FY4', 'listingDate': '2025-07-31', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '23-Sep-2025 16:00:00', 'preOpenTime': '23-Sep-2025 09:07:05', 'QuotePreOpenFlag': False}}"
SILVER360,Commodity-Silver,133.39,138.8,132.8,136.5,4.36,3.30,24434,3296146.6,123.3053,138.8,78.4,132.14,0,0,16.16,,22-Aug-2025,Infinity,-,-,18.54103343465045,1.6570605187319964,-74.10714285714285,https://nsearchives.nseindia.com/today/SILVER360EQN.svg,https://nsearchives.nseindia.com/30d/SILVER360-EQ.svg,https://nsearchives.nseindia.com/365d/SILVER360-EQ.svg,"{'symbol': 'SILVER360', 'companyName': '360 ONE Mutual Fund - 360 ONE Silver ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF579M01BC3', 'listingDate': '2025-04-04', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '23-Sep-2025 16:00:00', 'preOpenTime': '23-Sep-2025 09:07:05', 'QuotePreOpenFlag': False}}"
ESILVER,Edelweiss Silver ETF,134.4,148.05,134.4,138,4.26,3.19,134642,18262840.88,125.0946,148.05,86.27,133.74,0,48.29,16.36,20-Sep-2024,22-Aug-2025,54.535274356103024,-,-,18.231665524331735,6.788247213779136,-59.962907151964764,https://nsearchives.nseindia.com/today/ESILVEREQN.svg,https://nsearchives.nseindia.com/30d/ESILVER-EQ.svg,https://nsearchives.nseindia.com/365d/ESILVER-EQ.svg,"{'symbol': 'ESILVER', 'companyName': 'Edelweiss Mutual Fund - Edelweiss Silver ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF754K01SF3', 'listingDate': '2023-11-24', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '23-Sep-2025 16:00:00', 'preOpenTime': '23-Sep-2025 09:07:05', 'QuotePreOpenFlag': False}}"
TATAGOLD,Tata Gold Exchange Traded Fund,10.63,11.25,10.63,11.24,0.33,3.02,54082248,599231307.84,10.5946,12.13,7.11,10.91,0,49.66,12.47,20-Sep-2024,22-Aug-2025,52.71739130434782,-,-,14.811031664964261,7.337180544105528,-58.08720112517581,https://nsearchives.nseindia.com/today/TATAGOLDEQN.svg,https://nsearchives.nseindia.com/30d/TATAGOLD-EQ.svg,https://nsearchives.nseindia.com/365d/TATAGOLD-EQ.svg,"{'symbol': 'TATAGOLD', 'companyName': 'Tata Mutual Fund Tata Gold Exchange Traded Fund', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF277KA1976', 'listingDate': '2024-01-17', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '23-Sep-2025 16:00:00', 'preOpenTime': '23-Sep-2025 09:07:05', 'QuotePreOpenFlag': False}}"
EGOLD,Edelweiss Gold ETF,113.55,119,113.1,115.75,3.2,2.84,540154,62047489.98,109.3864,119,75,112.55,0,48.97,12.78,20-Sep-2024,22-Aug-2025,52.30263157894737,-,-,14.83134920634921,2.73109243697479,-54.333333333333336,https://nsearchives.nseindia.com/today/EGOLDEQN.svg,https://nsearchives.nseindia.com/30d/EGOLD-EQ.svg,https://nsearchives.nseindia.com/365d/EGOLD-EQ.svg,"{'symbol': 'EGOLD', 'companyName': 'Edelweiss Mutual Fund -Edelweiss Gold ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF754K01SE6', 'listingDate': '2023-11-10', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '23-Sep-2025 16:00:00', 'preOpenTime': '23-Sep-2025 09:07:05', 'QuotePreOpenFlag': False}}"
SNXT30BEES,BSE Sensex Next 30 Index,39.84,41,39.41,40.96,1.12,2.81,9623,383572.78,39.1415,41,37.03,39.84,0,0,2.52,,22-Aug-2025,Infinity,-,-,5.025641025641028,0.09756097560975402,-10.613016473129894,https://nsearchives.nseindia.com/today/SNXT30BEESEQN.svg,https://nsearchives.nseindia.com/30d/SNXT30BEES-EQ.svg,https://nsearchives.nseindia.com/365d/SNXT30BEES-EQ.svg,"{'symbol': 'SNXT30BEES', 'companyName': 'Nippon India Mutual Fund - Nippon India BSE Sensex Next 30 ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF204KC1EZ3', 'listingDate': '2025-06-13', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '23-Sep-2025 16:00:00', 'preOpenTime': '23-Sep-2025 09:07:05', 'QuotePreOpenFlag': False}}"
UNIONGOLD,Commodity Gold,111.7,112.25,108.95,112.25,2.75,2.51,2192,243706.56,107.2255,112.25,82,109.5,0,0,11.73,,22-Aug-2025,Infinity,-,-,13.555892766818417,0,-36.890243902439025,https://nsearchives.nseindia.com/today/UNIONGOLDEQN.svg,https://nsearchives.nseindia.com/30d/UNIONGOLD-EQ.svg,https://nsearchives.nseindia.com/365d/UNIONGOLD-EQ.svg,"{'symbol': 'UNIONGOLD', 'companyName': 'Union Mutual Fund - Union Gold ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF582M01KS4', 'listingDate': '2025-02-21', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '23-Sep-2025 16:00:00', 'preOpenTime': '23-Sep-2025 09:07:05', 'QuotePreOpenFlag': False}}"
LICMFGOLD,Gold,10293,10375,10122.1,10375,253.3,2.50,3485,35898009.2,,11477,6690,10121.7,0,50.33,12.26,20-Sep-2024,22-Aug-2025,52.67119407267886,-,-,13.962148090378852,9.60181232029276,-55.08221225710015,https://nsearchives.nseindia.com/today/LICMFGOLDEQN.svg,https://nsearchives.nseindia.com/30d/LICMFGOLD-EQ.svg,https://nsearchives.nseindia.com/365d/LICMFGOLD-EQ.svg,"{'symbol': 'LICMFGOLD', 'companyName': 'LIC MF Gold EXCHANGE TRADED FUND', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF397L01554', 'listingDate': '2011-11-17', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '23-Sep-2025 16:00:00', 'preOpenTime': '23-Sep-2025 09:07:05', 'QuotePreOpenFlag': False}}"
IVZINGOLD,Gold,9771.3,10038.95,9771.3,10038,239.95,2.45,1281,12746372.73,9481.8619,10038.95,6460,9798.05,0,49.59,12.92,20-Sep-2024,22-Aug-2025,52.42694121130675,-,-,14.540008557980316,0.009463141065556931,-55.38699690402477,https://nsearchives.nseindia.com/today/IVZINGOLDEQN.svg,https://nsearchives.nseindia.com/30d/IVZINGOLD-EQ.svg,https://nsearchives.nseindia.com/365d/IVZINGOLD-EQ.svg,"{'symbol': 'IVZINGOLD', 'companyName': 'Invesco India Gold Exchange Traded Fund', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF205K01361', 'listingDate': '2010-03-22', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '23-Sep-2025 16:00:00', 'preOpenTime': '23-Sep-2025 09:07:05', 'QuotePreOpenFlag': False}}"
BSLGOLDETF,Gold,101.37,102.52,99.07,101.5,2.38,2.40,980138,99180164.22,95.9777,102.52,56.57,99.12,0,50.62,13.05,20-Sep-2024,22-Aug-2025,53.20754716981132,25-NOV-21, FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 10/- PER SHARE TO RE 0.10/- PER SHARE,14.482291901646747,0.9949278189621499,-79.42372282128336,https://nsearchives.nseindia.com/today/BSLGOLDETFEQN.svg,https://nsearchives.nseindia.com/30d/BSLGOLDETF-EQ.svg,https://nsearchives.nseindia.com/365d/BSLGOLDETF-EQ.svg,"{'symbol': 'BSLGOLDETF', 'companyName': 'Aditya Birla Sun Life Gold ETF - Growth', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF209KB18D3', 'listingDate': '2011-05-20', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '23-Sep-2025 16:00:00', 'preOpenTime': '23-Sep-2025 09:07:05', 'QuotePreOpenFlag': False}}"
