symbol,assets,open,high,low,ltP,chn,per,qty,trdVal,nav,wkhi,wklo,prevClose,stockIndClosePrice,perChange365d,perChange30d,date365dAgo,date30dAgo,xdt,cact,ypc,mpc,nearWKH,nearWKL,chartTodayPath,chart30dPath,chart365dPath,meta
GROWWSLVR,Commodity-Silver,169.76,189.5,169.76,186,16.24,9.57,4319370,791394971.4,167.9541,189.5,94.2,169.76,0,0,33.32,,12-Sep-2025,-,-,Infinity,47.291732657586316,1.8469656992084433,-97.45222929936305,https://nsearchives.nseindia.com/today/GROWWSLVREQN.svg,https://nsearchives.nseindia.com/30d/GROWWSLVR-EQ.svg,https://nsearchives.nseindia.com/365d/GROWWSLVR-EQ.svg,"{'symbol': 'GROWWSLVR', 'companyName': 'Groww Mutual Fund - Groww Silver ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF666M01LA1', 'listingDate': '2025-05-23', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '14-Oct-2025 16:00:00', 'preOpenTime': '14-Oct-2025 09:07:05', 'QuotePreOpenFlag': False}}"
AXISILVER,Axis Silver ETF,181.69,189.95,174.72,189.6,15.74,9.05,5227331,966638048.52,169.8664,189.95,85.51,173.86,0,90.97,35.63,11-Oct-2024,12-Sep-2025,-,-,106.76117775354416,48.55441510616626,0.18425901553039975,-121.72845281253652,https://nsearchives.nseindia.com/today/AXISILVEREQN.svg,https://nsearchives.nseindia.com/30d/AXISILVER-EQ.svg,https://nsearchives.nseindia.com/365d/AXISILVER-EQ.svg,"{'symbol': 'AXISILVER', 'companyName': 'Axis Mutual Fund - Axis Silver ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF846K011K1', 'listingDate': '2022-09-27', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '14-Oct-2025 16:00:00', 'preOpenTime': '14-Oct-2025 09:07:05', 'QuotePreOpenFlag': False}}"
SILVERBEES,Domestic price of Silver- based on LBMA Silver daily spot fixing price,168.44,180,167.11,175.1,10.76,6.55,162150539,28292026044.72,163.5764,180,77.55,164.34,0,87.37,32.9,11-Oct-2024,12-Sep-2025,-,-,98.09933250367689,42.26519337016575,2.7222222222222254,-125.78981302385559,https://nsearchives.nseindia.com/today/SILVERBEESEQN.svg,https://nsearchives.nseindia.com/30d/SILVERBEES-EQ.svg,https://nsearchives.nseindia.com/365d/SILVERBEES-EQ.svg,"{'symbol': 'SILVERBEES', 'companyName': 'Nippon India Mutual Fund - Nippon India Silver ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF204KC1402', 'listingDate': '2022-02-07', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '14-Oct-2025 16:00:00', 'preOpenTime': '14-Oct-2025 09:07:05', 'QuotePreOpenFlag': False}}"
SILVERETF,UTI Silver Exchange Traded Fund (UTI Silver ETF),168.26,187.04,168.26,178.9,10.64,6.32,10977072,1978178145.12,163.8757,187.04,84.05,168.26,0,89.5,34.45,11-Oct-2024,12-Sep-2025,-,-,99.82128895342343,43.625561978163134,4.352010265183911,-112.84949434860202,https://nsearchives.nseindia.com/today/SILVERETFEQN.svg,https://nsearchives.nseindia.com/30d/SILVERETF-EQ.svg,https://nsearchives.nseindia.com/365d/SILVERETF-EQ.svg,"{'symbol': 'SILVERETF', 'companyName': 'UTI Mutual Fund - UTI Silver Exchange Traded Fund (UTI Silver ETF)', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF789F1AYK6', 'listingDate': '2023-04-20', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '14-Oct-2025 16:00:00', 'preOpenTime': '14-Oct-2025 09:07:05', 'QuotePreOpenFlag': False}}"
SILVERAG,Mirae Asset Silver ETF,169.9,184.26,167.99,174.45,9.87,6.00,1985761,352830014.48,166.3957,184.26,83.55,164.58,0,0,0,,,-,-,Infinity,38.7166030534351,5.323998697492675,-108.79712746858169,https://nsearchives.nseindia.com/today/SILVERAGEQN.svg,https://nsearchives.nseindia.com/30d/SILVERAG-EQ.svg,https://nsearchives.nseindia.com/365d/SILVERAG-EQ.svg,"{'symbol': 'SILVERAG', 'companyName': 'Mirae Asset Mutual Fund - Mirae Asset Silver ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF769K01KG6', 'listingDate': '2023-06-15', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '14-Oct-2025 16:00:00', 'preOpenTime': '14-Oct-2025 09:07:05', 'QuotePreOpenFlag': False}}"
SILVER,Physical price of Silver,174.11,189.9,172.11,180,10.13,5.96,11802979,2153217458.97,170.384,189.9,86.3,169.87,0,86.59,31.9,11-Oct-2024,12-Sep-2025,-,-,96.27085377821395,40.165083320355095,5.2132701421800975,-108.5747392815759,https://nsearchives.nseindia.com/today/SILVEREQN.svg,https://nsearchives.nseindia.com/30d/SILVER-EQ.svg,https://nsearchives.nseindia.com/365d/SILVER-EQ.svg,"{'symbol': 'SILVER', 'companyName': 'Aditya Birla Sun Life Mutual Fund - Aditya Birla Sun Life Silver ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF209KB19F6', 'listingDate': '2022-02-03', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '14-Oct-2025 16:00:00', 'preOpenTime': '14-Oct-2025 09:07:05', 'QuotePreOpenFlag': False}}"
SBISILVER,SBI SILVER ETF,168.2,179,165.37,173.4,7.58,4.57,9424066,1632907915.82,167.379,179,84.75,165.82,0,84.72,30.97,11-Oct-2024,12-Sep-2025,-,-,91.6445623342175,37.226970560303904,3.1284916201117285,-104.60176991150442,https://nsearchives.nseindia.com/today/SBISILVEREQN.svg,https://nsearchives.nseindia.com/30d/SBISILVER-EQ.svg,https://nsearchives.nseindia.com/365d/SBISILVER-EQ.svg,"{'symbol': 'SBISILVER', 'companyName': 'SBI Mutual Fund - SBI SILVER ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF200KB1217', 'listingDate': '2024-07-08', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '14-Oct-2025 16:00:00', 'preOpenTime': '14-Oct-2025 09:07:05', 'QuotePreOpenFlag': False}}"
ESILVER,Edelweiss Silver ETF,177,192,175.95,182,6.92,3.95,368162,68665894.62,170.7541,192,86.27,175.08,0,90.84,35.73,11-Oct-2024,12-Sep-2025,-,-,97.20446418896955,41.42513015774342,5.208333333333333,-110.9655732004173,https://nsearchives.nseindia.com/today/ESILVEREQN.svg,https://nsearchives.nseindia.com/30d/ESILVER-EQ.svg,https://nsearchives.nseindia.com/365d/ESILVER-EQ.svg,"{'symbol': 'ESILVER', 'companyName': 'Edelweiss Mutual Fund - Edelweiss Silver ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF754K01SF3', 'listingDate': '2023-11-24', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '14-Oct-2025 16:00:00', 'preOpenTime': '14-Oct-2025 09:07:05', 'QuotePreOpenFlag': False}}"
HDFCSILVER,HDFC Silver ETF,177.33,187.1,173,179,5.99,3.46,29962641,5391477621.54,163.9348,187.1,83.13,173.01,0,96.85,39.4,11-Oct-2024,12-Sep-2025,-,-,101.96321787205235,45.00972132209981,4.329235702832707,-115.32539396126549,https://nsearchives.nseindia.com/today/HDFCSILVEREQN.svg,https://nsearchives.nseindia.com/30d/HDFCSILVER-EQ.svg,https://nsearchives.nseindia.com/365d/HDFCSILVER-EQ.svg,"{'symbol': 'HDFCSILVER', 'companyName': 'HDFC Mutual Fund - HDFC Silver ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF179KC1DI2', 'listingDate': '2022-09-07', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '14-Oct-2025 16:00:00', 'preOpenTime': '14-Oct-2025 09:07:05', 'QuotePreOpenFlag': False}}"
GOLDCASE,Zerodha Gold ETF,20.04,20.22,19.55,20.1,0.64,3.29,17450739,348142243.05,19.4492,20.22,11.25,19.46,0,61.49,12.36,11-Oct-2024,12-Sep-2025,-,-,65.5683690280066,16.454229432213207,0.5934718100890082,-78.66666666666667,https://nsearchives.nseindia.com/today/GOLDCASEEQN.svg,https://nsearchives.nseindia.com/30d/GOLDCASE-EQ.svg,https://nsearchives.nseindia.com/365d/GOLDCASE-EQ.svg,"{'symbol': 'GOLDCASE', 'companyName': 'Zerodha Fund House - Zerodha Gold ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF0R8F01042', 'listingDate': '2024-03-01', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '14-Oct-2025 16:00:00', 'preOpenTime': '14-Oct-2025 09:07:05', 'QuotePreOpenFlag': False}}"
