symbol,assets,open,high,low,ltP,chn,per,qty,trdVal,nav,wkhi,wklo,prevClose,stockIndClosePrice,perChange365d,perChange30d,date365dAgo,date30dAgo,ypc,mpc,xdt,cact,nearWKH,nearWKL,chartTodayPath,chart30dPath,chart365dPath,meta
MONIFTY100,Nifty 100 Total Return Index,26.43,27.09,26.24,27.09,0.6,2.27,12374,325188.72,26.3052,27.97,26.16,26.49,0,0,0,,,Infinity,Infinity,-,-,3.146228101537358,-3.555045871559632,https://nsearchives.nseindia.com/today/MONIFTY100EQN.svg,https://nsearchives.nseindia.com/30d/MONIFTY100-EQ.svg,https://nsearchives.nseindia.com/365d/MONIFTY100-EQ.svg,"{'symbol': 'MONIFTY100', 'companyName': 'Motilal Oswal Mutual Fund - Motilal Oswal Nifty 100 ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF247L01GG9', 'listingDate': '2025-10-16', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '06-Nov-2025 16:00:00', 'preOpenTime': '06-Nov-2025 09:07:10', 'QuotePreOpenFlag': False}}"
SILVERAG,Mirae Asset Silver ETF,143.14,145.17,143.09,144.64,2.24,1.57,283233,40927168.5,142.4522,185.7,83.55,142.4,0,0,-2.49,,06-Oct-2025,Infinity,-0.958641468090938,-,-,22.110931610123856,-73.11789347695989,https://nsearchives.nseindia.com/today/SILVERAGEQN.svg,https://nsearchives.nseindia.com/30d/SILVERAG-EQ.svg,https://nsearchives.nseindia.com/365d/SILVERAG-EQ.svg,"{'symbol': 'SILVERAG', 'companyName': 'Mirae Asset Mutual Fund - Mirae Asset Silver ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF769K01KG6', 'listingDate': '2023-06-15', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '06-Nov-2025 16:00:00', 'preOpenTime': '06-Nov-2025 09:07:10', 'QuotePreOpenFlag': False}}"
TATSILV,Tata Silver Exchange Traded Fund,14.24,14.75,14.24,14.45,0.21,1.47,15963138,229709555.82,14.2127,18.33,8.4,14.24,0,53.12,-2.33,05-Nov-2024,06-Oct-2025,55.54359526372444,-0.8916323731138599,-,-,21.167484997272226,-72.0238095238095,https://nsearchives.nseindia.com/today/TATSILVEQN.svg,https://nsearchives.nseindia.com/30d/TATSILV-EQ.svg,https://nsearchives.nseindia.com/365d/TATSILV-EQ.svg,"{'symbol': 'TATSILV', 'companyName': 'Tata Mutual Fund Tata Silver Exchange Traded Fund', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF277KA1984', 'listingDate': '2024-01-17', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '06-Nov-2025 16:00:00', 'preOpenTime': '06-Nov-2025 09:07:10', 'QuotePreOpenFlag': False}}"
LICNETFGSC,GSEC10 NSE Index,28.64,29.05,28.6,29.05,0.4,1.40,205706,5899648.08,28.599,30,26,28.65,0,8.44,0.67,05-Nov-2024,06-Oct-2025,10.163064087978764,2.0730850316233305,-,-,3.1666666666666643,-11.730769230769234,https://nsearchives.nseindia.com/today/LICNETFGSCEQN.svg,https://nsearchives.nseindia.com/30d/LICNETFGSC-EQ.svg,https://nsearchives.nseindia.com/365d/LICNETFGSC-EQ.svg,"{'symbol': 'LICNETFGSC', 'companyName': 'LIC MF - LIC MF G-sec LT ETF - GO', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF767K01MV5', 'slb_isin': 'INF767K01MV5', 'listingDate': '2015-01-01', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '06-Nov-2025 16:00:00', 'preOpenTime': '06-Nov-2025 09:07:10', 'QuotePreOpenFlag': False}}"
SILVER1,Kotak Silver ETF,142,144.26,142,143.85,1.93,1.36,703678,101287411.32,141.6921,178.98,81.8,141.92,0,52.7,-2.39,05-Nov-2024,06-Oct-2025,54.3289346636627,-1.0660247592847396,-,-,19.627891384512235,-75.85574572127139,https://nsearchives.nseindia.com/today/SILVER1EQN.svg,https://nsearchives.nseindia.com/30d/SILVER1-EQ.svg,https://nsearchives.nseindia.com/365d/SILVER1-EQ.svg,"{'symbol': 'SILVER1', 'companyName': 'Kotak Mahindra Mutual Fund - Kotak Silver ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF174KA1KU9', 'listingDate': '2022-12-14', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '06-Nov-2025 16:00:00', 'preOpenTime': '06-Nov-2025 09:07:10', 'QuotePreOpenFlag': False}}"
SILVERETF,UTI Silver Exchange Traded Fund (UTI Silver ETF),141.79,144.32,141.79,143.7,1.91,1.35,529380,75796628.4,140.8344,187.04,84.05,141.79,0,52.79,-2.29,05-Nov-2024,06-Oct-2025,53.95328905078207,-0.9785005512679271,-,-,23.17151411462789,-70.96966091612134,https://nsearchives.nseindia.com/today/SILVERETFEQN.svg,https://nsearchives.nseindia.com/30d/SILVERETF-EQ.svg,https://nsearchives.nseindia.com/365d/SILVERETF-EQ.svg,"{'symbol': 'SILVERETF', 'companyName': 'UTI Mutual Fund - UTI Silver Exchange Traded Fund (UTI Silver ETF)', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF789F1AYK6', 'listingDate': '2023-04-20', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '06-Nov-2025 16:00:00', 'preOpenTime': '06-Nov-2025 09:07:10', 'QuotePreOpenFlag': False}}"
SBISILVER,SBI SILVER ETF,145.98,145.98,143.91,145.5,1.93,1.34,1166626,169230767.56,143.2438,180,84.75,143.57,0,53.21,-2.29,05-Nov-2024,06-Oct-2025,54.31116767419661,-0.9732525692506682,-,-,19.166666666666668,-71.68141592920354,https://nsearchives.nseindia.com/today/SBISILVEREQN.svg,https://nsearchives.nseindia.com/30d/SBISILVER-EQ.svg,https://nsearchives.nseindia.com/365d/SBISILVER-EQ.svg,"{'symbol': 'SBISILVER', 'companyName': 'SBI Mutual Fund - SBI SILVER ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF200KB1217', 'listingDate': '2024-07-08', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '06-Nov-2025 16:00:00', 'preOpenTime': '06-Nov-2025 09:07:10', 'QuotePreOpenFlag': False}}"
SILVERADD,DSP Silver ETF,141.17,143.5,141.17,142.8,1.84,1.31,139165,19847712.3,140.8401,183,83.3,140.96,0,53.08,-2.34,05-Nov-2024,06-Oct-2025,54.27830596369923,-1.0669253152279286,-,-,21.96721311475409,-71.42857142857146,https://nsearchives.nseindia.com/today/SILVERADDEQN.svg,https://nsearchives.nseindia.com/30d/SILVERADD-EQ.svg,https://nsearchives.nseindia.com/365d/SILVERADD-EQ.svg,"{'symbol': 'SILVERADD', 'companyName': 'DSP  Mutual Fund - DSP Silver ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF740KA1RE3', 'listingDate': '2022-08-25', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '06-Nov-2025 16:00:00', 'preOpenTime': '06-Nov-2025 09:07:10', 'QuotePreOpenFlag': False}}"
GROWWSLVR,Commodity-Silver,145.07,145.95,144.35,145.54,1.85,1.29,231514,33636669.06,143.8317,194.21,94.2,143.69,0,0,-2.47,,06-Oct-2025,Infinity,-1.2149596144709294,-,-,25.060501518974313,-54.501061571125256,https://nsearchives.nseindia.com/today/GROWWSLVREQN.svg,https://nsearchives.nseindia.com/30d/GROWWSLVR-EQ.svg,https://nsearchives.nseindia.com/365d/GROWWSLVR-EQ.svg,"{'symbol': 'GROWWSLVR', 'companyName': 'Groww Mutual Fund - Groww Silver ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF666M01LA1', 'listingDate': '2025-05-23', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '06-Nov-2025 16:00:00', 'preOpenTime': '06-Nov-2025 09:07:10', 'QuotePreOpenFlag': False}}"
HDFCSILVER,HDFC Silver ETF,142,142.65,140.62,142.11,1.79,1.28,1854158,263216269.68,140.3163,187.1,83.13,140.32,0,52.55,-2.76,05-Nov-2024,06-Oct-2025,54.01538961742714,-1.5244958769315977,-,-,24.045964724746117,-70.94911584265611,https://nsearchives.nseindia.com/today/HDFCSILVEREQN.svg,https://nsearchives.nseindia.com/30d/HDFCSILVER-EQ.svg,https://nsearchives.nseindia.com/365d/HDFCSILVER-EQ.svg,"{'symbol': 'HDFCSILVER', 'companyName': 'HDFC Mutual Fund - HDFC Silver ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF179KC1DI2', 'listingDate': '2022-09-07', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '06-Nov-2025 16:00:00', 'preOpenTime': '06-Nov-2025 09:07:10', 'QuotePreOpenFlag': False}}"
