symbol,assets,open,high,low,ltP,chn,per,qty,trdVal,nav,wkhi,wklo,prevClose,stockIndClosePrice,perChange365d,perChange30d,date365dAgo,date30dAgo,xdt,cact,mpc,ypc,nearWKH,nearWKL,chartTodayPath,chart30dPath,chart365dPath,meta
MONQ50,Nasdaq Q-50 Total Return Index,97,98.4,97,98.4,2.08,2.16,103902,10156420.5,83.3699,104.31,61.31,96.32,0,35.6,-5.18,22-Nov-2024,24-Oct-2025,-,-,-3.0350808040993282,37.79582691499792,5.665803853897034,-60.49584080900343,https://nsearchives.nseindia.com/today/MONQ50EQN.svg,https://nsearchives.nseindia.com/30d/MONQ50-EQ.svg,https://nsearchives.nseindia.com/365d/MONQ50-EQ.svg,"{'symbol': 'MONQ50', 'companyName': 'Motilal Oswal Mutual Fund - Motilal Oswal Nasdaq Q 50 ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF247L01AU3', 'slb_isin': 'INF247L01AU3', 'listingDate': '2021-12-29', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '25-Nov-2025 16:00:00', 'preOpenTime': '25-Nov-2025 09:07:13', 'QuotePreOpenFlag': False}}"
MOGOLD,Domestic Price of Physical Gold,123.55,124.6,123.35,123.95,2.35,1.93,1211106,150443587.32,122.0134,134.4,96.3,121.6,0,0,1.67,,24-Oct-2025,-,-,3.20566194837636,Infinity,7.77529761904762,-28.71235721703012,https://nsearchives.nseindia.com/today/MOGOLDEQN.svg,https://nsearchives.nseindia.com/30d/MOGOLD-EQ.svg,https://nsearchives.nseindia.com/365d/MOGOLD-EQ.svg,"{'symbol': 'MOGOLD', 'companyName': 'Motilal Oswal Mutual Fund - Motilal Oswal Gold ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF247L01FY4', 'listingDate': '2025-07-31', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '25-Nov-2025 16:00:00', 'preOpenTime': '25-Nov-2025 09:07:13', 'QuotePreOpenFlag': False}}"
BSLGOLDETF,Gold,110.17,110.46,109.26,110.16,1.88,1.74,1686759,186150723.24,108.1361,121.47,66.45,108.28,0,56.41,1.76,22-Nov-2024,24-Oct-2025,25-NOV-21, FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 10/- PER SHARE TO RE 0.10/- PER SHARE,3.7678975131876413,61.92856092900191,9.310940973079775,-65.7787810383747,https://nsearchives.nseindia.com/today/BSLGOLDETFEQN.svg,https://nsearchives.nseindia.com/30d/BSLGOLDETF-EQ.svg,https://nsearchives.nseindia.com/365d/BSLGOLDETF-EQ.svg,"{'symbol': 'BSLGOLDETF', 'companyName': 'Aditya Birla Sun Life Gold ETF - Growth', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF209KB18D3', 'listingDate': '2011-05-20', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '25-Nov-2025 16:00:00', 'preOpenTime': '25-Nov-2025 09:07:13', 'QuotePreOpenFlag': False}}"
PSUBNKBEES,Nifty PSU Bank,92.99,94.76,92.97,94.69,1.61,1.73,3506491,330591971.48,93.1712,96.59,61.54,93.08,0,28.17,6.72,22-Nov-2024,24-Oct-2025,19-DEC-19, FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 10/- TO RS 1/-,6.119018267398849,25.38400423728814,1.9670773371984736,-53.86740331491713,https://nsearchives.nseindia.com/today/PSUBNKBEESEQN.svg,https://nsearchives.nseindia.com/30d/PSUBNKBEES-EQ.svg,https://nsearchives.nseindia.com/365d/PSUBNKBEES-EQ.svg,"{'symbol': 'PSUBNKBEES', 'companyName': 'Nippon India ETF Nifty PSU Bank BeES', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF204KB16I7', 'slb_isin': 'INF204KB16I7', 'listingDate': '2007-11-01', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '25-Nov-2025 16:00:00', 'preOpenTime': '25-Nov-2025 09:07:13', 'QuotePreOpenFlag': False}}"
GROWWRLTY,Index,10.14,10.14,9.98,10.14,0.17,1.71,56021,565251.89,9.9355,11.3,9.85,9.97,0,0,-5.59,,24-Oct-2025,-,-,-5.41044776119403,Infinity,10.265486725663717,-2.9441624365482326,https://nsearchives.nseindia.com/today/GROWWRLTYEQN.svg,https://nsearchives.nseindia.com/30d/GROWWRLTY-EQ.svg,https://nsearchives.nseindia.com/365d/GROWWRLTY-EQ.svg,"{'symbol': 'GROWWRLTY', 'companyName': 'Groww Mutual Fund - Groww Nifty Realty ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF666M01MN2', 'listingDate': '2025-10-09', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '25-Nov-2025 16:00:00', 'preOpenTime': '25-Nov-2025 09:07:13', 'QuotePreOpenFlag': False}}"
PSUBNKIETF,ICICI Prudential Nifty PSU Bank ETF,84.31,85.96,84.31,85.82,1.44,1.71,124318,10603082.22,84.553,87.8,55.8,84.38,0,28.79,6.95,22-Nov-2024,24-Oct-2025,-,-,6.016059295861631,25.229826353421846,2.2551252847380456,-53.79928315412186,https://nsearchives.nseindia.com/today/PSUBNKIETFEQN.svg,https://nsearchives.nseindia.com/30d/PSUBNKIETF-EQ.svg,https://nsearchives.nseindia.com/365d/PSUBNKIETF-EQ.svg,"{'symbol': 'PSUBNKIETF', 'companyName': 'ICICI Prudential Mutual Fund - ICICI Prudential Nifty PSU Bank ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF109KC10S8', 'slb_isin': 'INF109KC10S8', 'listingDate': '2023-03-21', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '25-Nov-2025 16:00:00', 'preOpenTime': '25-Nov-2025 09:07:13', 'QuotePreOpenFlag': False}}"
MASPTOP50,S&P 500 Top 50 Total Return Index,68.31,68.31,67.8,68.31,1.14,1.70,342542,23381916.92,58.4917,71.8,40.86,67.17,0,25.5,-2.24,22-Nov-2024,24-Oct-2025,-,-,-0.5387303436226041,25.15573470135582,4.86072423398328,-67.18061674008811,https://nsearchives.nseindia.com/today/MASPTOP50EQN.svg,https://nsearchives.nseindia.com/30d/MASPTOP50-EQ.svg,https://nsearchives.nseindia.com/365d/MASPTOP50-EQ.svg,"{'symbol': 'MASPTOP50', 'companyName': 'Mirae Asset Mutual Fund - Mirae Asset S&P 500 Top 50 ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF769K01HP3', 'slb_isin': 'INF769K01HP3', 'listingDate': '2021-09-24', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '25-Nov-2025 16:00:00', 'preOpenTime': '25-Nov-2025 09:07:13', 'QuotePreOpenFlag': False}}"
MOSILVER,Domestic Price of Physical Silver,153.41,155.64,153.41,154.9,2.5,1.64,416012,64436098.68,152.089,193.33,112.32,152.4,0,0,6.69,,24-Oct-2025,-,-,6.982526417570284,Infinity,19.877928929809137,-37.90954415954417,https://nsearchives.nseindia.com/today/MOSILVEREQN.svg,https://nsearchives.nseindia.com/30d/MOSILVER-EQ.svg,https://nsearchives.nseindia.com/365d/MOSILVER-EQ.svg,"{'symbol': 'MOSILVER', 'companyName': 'Motilal Oswal Mutual Fund - Motilal Oswal Silver ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF247L01FZ1', 'listingDate': '2025-08-14', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '25-Nov-2025 16:00:00', 'preOpenTime': '25-Nov-2025 09:07:13', 'QuotePreOpenFlag': False}}"
SILVER360,Commodity-Silver,154.25,154.63,153,153.51,2.43,1.61,27968,4305114.24,151.3238,178.56,78.4,151.08,0,0,4.15,,24-Oct-2025,-,-,6.604166666666661,Infinity,14.028897849462371,-95.8035714285714,https://nsearchives.nseindia.com/today/SILVER360EQN.svg,https://nsearchives.nseindia.com/30d/SILVER360-EQ.svg,https://nsearchives.nseindia.com/365d/SILVER360-EQ.svg,"{'symbol': 'SILVER360', 'companyName': '360 ONE Mutual Fund - 360 ONE Silver ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF579M01BC3', 'listingDate': '2025-04-04', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '25-Nov-2025 16:00:00', 'preOpenTime': '25-Nov-2025 09:07:13', 'QuotePreOpenFlag': False}}"
MOREALTY,Motilal Oswal Nifty Realty ETF,89.27,90.5,88.82,90.23,1.41,1.59,632822,56966636.44,88.7078,113.5,77,88.82,0,-11.6,-5.46,22-Nov-2024,24-Oct-2025,-,-,-5.8141962421711835,-12.184914841849144,20.502202643171803,-17.181818181818187,https://nsearchives.nseindia.com/today/MOREALTYEQN.svg,https://nsearchives.nseindia.com/30d/MOREALTY-EQ.svg,https://nsearchives.nseindia.com/365d/MOREALTY-EQ.svg,"{'symbol': 'MOREALTY', 'companyName': 'Motilal Oswal Mutual Fund - Motilal Oswal Nifty Realty ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF247L01CI4', 'slb_isin': 'INF247L01CI4', 'listingDate': '2024-03-21', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '25-Nov-2025 16:00:00', 'preOpenTime': '25-Nov-2025 09:07:13', 'QuotePreOpenFlag': False}}"
