symbol,assets,open,high,low,ltP,chn,per,qty,trdVal,nav,wkhi,wklo,prevClose,stockIndClosePrice,perChange365d,perChange30d,date365dAgo,date30dAgo,mpc,cact,xdt,ypc,nearWKH,nearWKL,chartTodayPath,chart30dPath,chart365dPath,meta
LICNFNHGP,Nifty 100,289.8,289.8,287,289.68,5.09,1.79,1124,324588.72,288.8116,298,242.47,284.59,0,4.2,-0.47,03-Dec-2024,03-Nov-2025,1.3115098100933795,-,-,6.059385640537477,2.79194630872483,-19.470449952571457,https://nsearchives.nseindia.com/today/LICNFNHGPEQN.svg,https://nsearchives.nseindia.com/30d/LICNFNHGP-EQ.svg,https://nsearchives.nseindia.com/365d/LICNFNHGP-EQ.svg,"{'symbol': 'LICNFNHGP', 'companyName': 'LIC MF - LIC MF ETF - Nifty 100', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF767K01PC8', 'listingDate': '2016-03-28', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '04-Dec-2025 16:00:00', 'preOpenTime': '04-Dec-2025 09:07:33', 'QuotePreOpenFlag': False}}"
IT,NIFTY IT Index,41.75,42.1,41.48,42,0.6,1.45,486580,20416896.8,41.417,49.5,32.55,41.4,0,-11.42,6.26,03-Dec-2024,03-Nov-2025,7.802874743326486,-,-,-10.141206675224652,15.151515151515152,-29.03225806451614,https://nsearchives.nseindia.com/today/ITEQN.svg,https://nsearchives.nseindia.com/30d/IT-EQ.svg,https://nsearchives.nseindia.com/365d/IT-EQ.svg,"{'symbol': 'IT', 'companyName': 'Kotak Nifty IT ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF174KA1GC5', 'slb_isin': 'INF174KA1GC5', 'listingDate': '2021-03-05', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '04-Dec-2025 16:00:00', 'preOpenTime': '04-Dec-2025 09:07:33', 'QuotePreOpenFlag': False}}"
AXISTECETF,NIFTY IT Index,412.86,418.5,412.86,416.92,5.74,1.40,9864,4107961.44,412.01,498.96,341,411.18,0,-11.6,5.96,03-Dec-2024,03-Nov-2025,7.436994279235173,-,-,-10.364844237095001,16.4421997755331,-22.263929618768334,https://nsearchives.nseindia.com/today/AXISTECETFEQN.svg,https://nsearchives.nseindia.com/30d/AXISTECETF-EQ.svg,https://nsearchives.nseindia.com/365d/AXISTECETF-EQ.svg,"{'symbol': 'AXISTECETF', 'companyName': 'AXIS MUTUAL FUND - AXIS NIFTY IT ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF846K01Y96', 'slb_isin': 'INF846K01Y96', 'listingDate': '2021-03-31', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '04-Dec-2025 16:00:00', 'preOpenTime': '04-Dec-2025 09:07:33', 'QuotePreOpenFlag': False}}"
ITIETF,Nifty IT Index,41.49,42.28,41.49,42,0.55,1.33,4485756,189119472.96,41.5165,49.53,33.43,41.45,0,-11.77,5.77,03-Dec-2024,03-Nov-2025,7.17019647869355,FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 10/- PER UNIT TO RE 1/- PER UNIT,01-SEP-22,-10.600255427841628,15.202907328891582,-25.63565659587197,https://nsearchives.nseindia.com/today/ITIETFEQN.svg,https://nsearchives.nseindia.com/30d/ITIETF-EQ.svg,https://nsearchives.nseindia.com/365d/ITIETF-EQ.svg,"{'symbol': 'ITIETF', 'companyName': 'ICICI PRUDENTIAL MUTUAL FUND - ICICI Prudential Nifty IT ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF109KC16I6', 'slb_isin': 'INF109KC16I6', 'listingDate': '2020-08-20', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '04-Dec-2025 16:00:00', 'preOpenTime': '04-Dec-2025 09:07:33', 'QuotePreOpenFlag': False}}"
ITETFADD,DSP Nifty IT ETF,39.7,40.25,39.7,40.04,0.52,1.32,82417,3299152.51,39.5991,48.66,32.61,39.52,0,-11.47,5.89,03-Dec-2024,03-Nov-2025,7.288317256162912,-,-,-10.304659498207888,17.714755445951496,-22.784421956455077,https://nsearchives.nseindia.com/today/ITETFADDEQN.svg,https://nsearchives.nseindia.com/30d/ITETFADD-EQ.svg,https://nsearchives.nseindia.com/365d/ITETFADD-EQ.svg,"{'symbol': 'ITETFADD', 'companyName': 'DSP Mutual Fund - DSP Nifty IT ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF740KA1SX1', 'slb_isin': 'INF740KA1SX1', 'listingDate': '2023-07-13', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '04-Dec-2025 16:00:00', 'preOpenTime': '04-Dec-2025 09:07:33', 'QuotePreOpenFlag': False}}"
SBIETFIT,Nifty IT Index,418.48,422,414.99,419.49,5.39,1.30,15736,6613683.44,414.8519,510,335,414.1,0,-11.59,5.87,03-Dec-2024,03-Nov-2025,7.2453023136904084,-,-,-10.434281322059954,17.74705882352941,-25.22089552238806,https://nsearchives.nseindia.com/today/SBIETFITEQN.svg,https://nsearchives.nseindia.com/30d/SBIETFIT-EQ.svg,https://nsearchives.nseindia.com/365d/SBIETFIT-EQ.svg,"{'symbol': 'SBIETFIT', 'companyName': 'SBI Mutual Fund-SBI ETF IT', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF200KA1S14', 'slb_isin': 'INF200KA1S14', 'listingDate': '2020-10-22', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '04-Dec-2025 16:00:00', 'preOpenTime': '04-Dec-2025 09:07:33', 'QuotePreOpenFlag': False}}"
ITETF,Mirae Asset Nifty IT ETF,39.79,40.25,39.67,40.07,0.51,1.29,413477,16580427.7,39.5864,48.05,31.7,39.56,0,-11.56,6.06,03-Dec-2024,03-Nov-2025,7.42627345844505,-,-,-10.418063939190693,16.607700312174813,-26.403785488958995,https://nsearchives.nseindia.com/today/ITETFEQN.svg,https://nsearchives.nseindia.com/30d/ITETF-EQ.svg,https://nsearchives.nseindia.com/365d/ITETF-EQ.svg,"{'symbol': 'ITETF', 'companyName': 'Mirae Asset Mutual Fund - Mirae Asset Nifty IT ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF769K01KV5', 'slb_isin': 'INF769K01KV5', 'listingDate': '2023-10-27', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '04-Dec-2025 16:00:00', 'preOpenTime': '04-Dec-2025 09:07:33', 'QuotePreOpenFlag': False}}"
TECH,Nifty IT TRI Index,41.08,41.45,40.64,41.16,0.51,1.25,1373737,56694125.99,40.7025,49.77,33.41,40.65,0,-11.55,6.25,03-Dec-2024,03-Nov-2025,7.57971772085729,-,-,-10.443864229765023,17.29957805907174,-23.19664771026639,https://nsearchives.nseindia.com/today/TECHEQN.svg,https://nsearchives.nseindia.com/30d/TECH-EQ.svg,https://nsearchives.nseindia.com/365d/TECH-EQ.svg,"{'symbol': 'TECH', 'companyName': 'Aditya Birla Sun Life Mutual Fund - Aditya Birla Sun Life Nifty IT ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF209KB11D8', 'slb_isin': 'INF209KB11D8', 'listingDate': '2021-11-03', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '04-Dec-2025 16:00:00', 'preOpenTime': '04-Dec-2025 09:07:33', 'QuotePreOpenFlag': False}}"
NIFITETF,UTI Nifty IT ETF,394.6,400.12,394,397.48,4.84,1.23,5871,2335014.12,393.0013,469.99,325,392.64,0,-11.34,6.05,03-Dec-2024,03-Nov-2025,7.360289549739351,-,-,-10.247030664318295,15.427987829528286,-22.301538461538467,https://nsearchives.nseindia.com/today/NIFITETFEQN.svg,https://nsearchives.nseindia.com/30d/NIFITETF-EQ.svg,https://nsearchives.nseindia.com/365d/NIFITETF-EQ.svg,"{'symbol': 'NIFITETF', 'companyName': 'UTI Mutual Fund - UTI Nifty IT ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF789F1AZD8', 'listingDate': '2024-02-01', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '04-Dec-2025 16:00:00', 'preOpenTime': '04-Dec-2025 09:07:33', 'QuotePreOpenFlag': False}}"
ECAPINSURE,BSE Capital Markets & Insurance Total Return Index,24.2,24.2,23.72,24.15,0.29,1.22,17402,416081.82,23.8155,26.77,17.13,23.86,0,0,0.29,,03-Nov-2025,1.5132408575031502,-,-,Infinity,9.787075084049313,-40.98073555166375,https://nsearchives.nseindia.com/today/ECAPINSUREEQN.svg,https://nsearchives.nseindia.com/30d/ECAPINSURE-EQ.svg,https://nsearchives.nseindia.com/365d/ECAPINSURE-EQ.svg,"{'symbol': 'ECAPINSURE', 'companyName': 'Edelweiss Mutual Fund - Edelweiss BSE Capital Markets & Insurance ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF754K01TX4', 'slb_isin': 'INF754K01TX4', 'listingDate': '2025-01-06', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '04-Dec-2025 16:00:00', 'preOpenTime': '04-Dec-2025 09:07:33', 'QuotePreOpenFlag': False}}"
