symbol,assets,open,high,low,ltP,chn,per,qty,trdVal,nav,wkhi,wklo,prevClose,stockIndClosePrice,perChange365d,perChange30d,date365dAgo,date30dAgo,xdt,cact,mpc,ypc,nearWKH,nearWKL,chartTodayPath,chart30dPath,chart365dPath,series,meta
ELM250,Nifty LargeMidcap 250 TRI,16.66,17.24,16.5,17.24,0.67,4.04,15577,258733.97,16.5244,19.2,15.85,16.57,0,0,3.43,,23-Jan-2026,-,-,7.080745341614888,Infinity,10.208333333333337,-8.76971608832807,https://nsearchives.nseindia.com/today/ELM250EQN.svg,https://nsearchives.nseindia.com/30d/ELM250-EQ.svg,,EQ,"{'symbol': 'ELM250', 'companyName': 'Edelweiss Mutual Fund - Edelweiss Nifty LargeMidcap 250 ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF754K01VV4', 'listingDate': '2025-09-09', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '26-Feb-2026 16:00:00', 'preOpenTime': '26-Feb-2026 09:07:33', 'QuotePreOpenFlag': False}}"
SBIETFCON,Nifty India Consumption Index,119.77,124,118.22,124,3.57,2.96,9712,1167576.64,120.4106,133.97,101.64,120.43,0,11.62,1.1,25-Feb-2025,23-Jan-2026,-,-,5.200644778145411,14.931875057929373,7.441964618944539,-21.999212908303818,https://nsearchives.nseindia.com/today/SBIETFCONEQN.svg,https://nsearchives.nseindia.com/30d/SBIETFCON-EQ.svg,https://nsearchives.nseindia.com/365d/SBIETFCON-EQ.svg,EQ,"{'symbol': 'SBIETFCON', 'companyName': 'SBI Mutual Fund - SBI ETF Consumption', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF200KA1X17', 'slb_isin': 'INF200KA1X17', 'listingDate': '2021-07-29', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '26-Feb-2026 16:00:00', 'preOpenTime': '26-Feb-2026 09:07:33', 'QuotePreOpenFlag': False}}"
GROWWRLTY,Index,9.12,9.18,8.87,9.1,0.17,1.90,233517,2082971.64,8.9206,11.3,8.07,8.93,0,0,4.94,,23-Jan-2026,-,-,6.807511737089203,Infinity,19.469026548672574,-12.763320941759597,https://nsearchives.nseindia.com/today/GROWWRLTYEQN.svg,https://nsearchives.nseindia.com/30d/GROWWRLTY-EQ.svg,,EQ,"{'symbol': 'GROWWRLTY', 'companyName': 'Groww Mutual Fund - Groww Nifty Realty ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF666M01MN2', 'listingDate': '2025-10-09', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '26-Feb-2026 16:00:00', 'preOpenTime': '26-Feb-2026 09:07:33', 'QuotePreOpenFlag': False}}"
MOVALUE,Motilal Oswal S&P BSE Enhanced Value ETF,125.75,128.77,125.5,128.77,2.26,1.79,133566,16981581.24,126.5747,128.77,85.91,126.51,0,41.64,8.87,25-Feb-2025,23-Jan-2026,-,-,9.63814389101746,44.167039856695055,0,-49.889419159585636,https://nsearchives.nseindia.com/today/MOVALUEEQN.svg,https://nsearchives.nseindia.com/30d/MOVALUE-EQ.svg,https://nsearchives.nseindia.com/365d/MOVALUE-EQ.svg,EQ,"{'symbol': 'MOVALUE', 'companyName': 'Motilal Oswal Mutual Fund - Motilal Oswal SP BSE Enhanced Value ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF247L01BE5', 'slb_isin': 'INF247L01BE5', 'listingDate': '2022-08-26', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '26-Feb-2026 16:00:00', 'preOpenTime': '26-Feb-2026 09:07:33', 'QuotePreOpenFlag': False}}"
HEALTHIETF,Nifty Healthcare Index,152.53,155,152.53,154.92,2.53,1.66,202210,31198980.9,152.6203,157.19,128.14,152.39,0,14.66,6.54,25-Feb-2025,23-Jan-2026,-,-,8.365976496922201,16.56007824843879,1.4441122208791972,-20.89901670048385,https://nsearchives.nseindia.com/today/HEALTHIETFEQN.svg,https://nsearchives.nseindia.com/30d/HEALTHIETF-EQ.svg,https://nsearchives.nseindia.com/365d/HEALTHIETF-EQ.svg,EQ,"{'symbol': 'HEALTHIETF', 'companyName': 'ICICI PRUDENTIAL MUTUAL FUND - ICICI Prudential Nifty Healthcare ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF109KC1Q72', 'slb_isin': 'INF109KC1Q72', 'listingDate': '2021-05-25', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '26-Feb-2026 16:00:00', 'preOpenTime': '26-Feb-2026 09:07:33', 'QuotePreOpenFlag': False}}"
MODEFENCE,Nifty India Defence Total Return Index,88.75,90.15,87.28,89.9,1.15,1.30,3324447,298136406.96,88.8867,102,55.21,88.75,0,51.76,7.58,25-Feb-2025,23-Jan-2026,-,-,7.189698342673186,53.72777017783859,11.86274509803921,-62.83282014127876,https://nsearchives.nseindia.com/today/MODEFENCEEQN.svg,https://nsearchives.nseindia.com/30d/MODEFENCE-EQ.svg,https://nsearchives.nseindia.com/365d/MODEFENCE-EQ.svg,EQ,"{'symbol': 'MODEFENCE', 'companyName': 'Motilal Oswal Mutual Fund - Motilal Oswal Nifty India Defence ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF247L01DJ0', 'slb_isin': 'INF247L01DJ0', 'listingDate': '2024-08-27', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '26-Feb-2026 16:00:00', 'preOpenTime': '26-Feb-2026 09:07:33', 'QuotePreOpenFlag': False}}"
PVTBANKADD,DSP Nifty Private Bank ETF,29.26,29.64,29.2,29.64,0.37,1.26,9539,279683.48,29.3242,30.45,23.83,29.27,0,19.23,3.14,25-Feb-2025,23-Jan-2026,-,-,3.60013981125481,20.733197556008147,2.6600985221674835,-24.38103231221151,https://nsearchives.nseindia.com/today/PVTBANKADDEQN.svg,https://nsearchives.nseindia.com/30d/PVTBANKADD-EQ.svg,https://nsearchives.nseindia.com/365d/PVTBANKADD-EQ.svg,EQ,"{'symbol': 'PVTBANKADD', 'companyName': 'DSP Mutual Fund - DSP Nifty Private Bank ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF740KA1TA7', 'slb_isin': 'INF740KA1TA7', 'listingDate': '2023-08-02', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '26-Feb-2026 16:00:00', 'preOpenTime': '26-Feb-2026 09:07:33', 'QuotePreOpenFlag': False}}"
DEFENCE,BSE India Defence,67.64,68.37,67.58,68.33,0.84,1.24,146919,10038975.27,67.3889,69.4,66.34,67.49,0,0,0,,,-,-,Infinity,Infinity,1.5417867435158608,-2.999698522761524,https://nsearchives.nseindia.com/today/DEFENCEEQN.svg,,,EQ,"{'symbol': 'DEFENCE', 'companyName': 'Mirae Asset Mutual Fund - Mirae Asset BSE India Defence ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF769K01QC2', 'listingDate': '2026-02-19', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '26-Feb-2026 16:00:00', 'preOpenTime': '26-Feb-2026 09:07:33', 'QuotePreOpenFlag': False}}"
AUTOIETF,Nifty Auto Index,28.53,29.62,28.53,29.6,0.33,1.13,3973171,117486666.47,29.2856,30.5,19.72,29.27,0,32.08,6.17,25-Feb-2025,23-Jan-2026,01-MAR-24,FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 10/- PER SHARE TO RE 1/- PER SHARE,8.66372980910427,33.574007220216615,2.950819672131143,-50.10141987829616,https://nsearchives.nseindia.com/today/AUTOIETFEQN.svg,https://nsearchives.nseindia.com/30d/AUTOIETF-EQ.svg,https://nsearchives.nseindia.com/365d/AUTOIETF-EQ.svg,EQ,"{'symbol': 'AUTOIETF', 'companyName': 'ICICI Prudential Mutual Fund - ICICI Prudential  Nifty Auto ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF109KC10V2', 'slb_isin': 'INF109KC10V2', 'listingDate': '2022-01-18', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '26-Feb-2026 16:00:00', 'preOpenTime': '26-Feb-2026 09:07:33', 'QuotePreOpenFlag': False}}"
TNIDETF,Nifty India Digital Index,83.6,83.89,82.54,83.75,0.93,1.12,75433,6272253.95,82.4828,103.26,76.95,82.82,0,-4.4,-12.02,25-Feb-2025,23-Jan-2026,-,-,-10.542619098483234,-3.3244834352995447,18.894053844663958,-8.836907082521114,https://nsearchives.nseindia.com/today/TNIDETFEQN.svg,https://nsearchives.nseindia.com/30d/TNIDETF-EQ.svg,https://nsearchives.nseindia.com/365d/TNIDETF-EQ.svg,EQ,"{'symbol': 'TNIDETF', 'companyName': 'Tata Mutual Fund - Tata Nifty India Digital Exchange Traded Fund', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF277KA1364', 'slb_isin': 'INF277KA1364', 'listingDate': '2022-04-08', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '26-Feb-2026 16:00:00', 'preOpenTime': '26-Feb-2026 09:07:33', 'QuotePreOpenFlag': False}}"
