symbol,assets,open,high,low,ltP,chn,per,qty,trdVal,nav,wkhi,wklo,prevClose,stockIndClosePrice,perChange365d,perChange30d,date365dAgo,date30dAgo,ypc,mpc,cact,xdt,nearWKH,nearWKL,chartTodayPath,chart30dPath,chart365dPath,series,meta
MOMENTUM30,Nifty 200 Momentum 30 Index,31.71,33,31.35,33,1.17,3.68,15154,478108.7,31.887,37.38,29.02,31.83,0,0,5.19,,27-Jan-2026,Infinity,9.05485789821546,-,-,11.717495987158914,-13.714679531357687,https://nsearchives.nseindia.com/today/MOMENTUM30EQN.svg,https://nsearchives.nseindia.com/30d/MOMENTUM30-EQ.svg,,EQ,"{'symbol': 'MOMENTUM30', 'companyName': 'Kotak Mahindra Mutual Fund - Kotak Nifty 200 Momentum 30 ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF174KA1XS6', 'listingDate': '2025-10-17', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '27-Feb-2026 16:00:00', 'preOpenTime': '27-Feb-2026 09:07:09', 'QuotePreOpenFlag': False}}"
SILVER1,Kotak Silver ETF,26.89,26.9,25.31,25.76,0.8,3.21,11816203,303912741.16,250.5571,38.8,8.59,249.55,0,165.2,-22.96,25-Feb-2025,27-Jan-2026,-72.34567901234567,-92.04717359760427,FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 10/- PER SHARE TO RE 1/- PER SHARE,27-FEB-26,33.60824742268041,-199.88358556461003,https://nsearchives.nseindia.com/today/SILVER1EQN.svg,https://nsearchives.nseindia.com/30d/SILVER1-EQ.svg,https://nsearchives.nseindia.com/365d/SILVER1-EQ.svg,EQ,"{'symbol': 'SILVER1', 'companyName': 'Kotak Mahindra Mutual Fund - Kotak Silver ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF174KA1ZD3', 'listingDate': '2022-12-14', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '27-Feb-2026 16:00:00', 'preOpenTime': '27-Feb-2026 09:07:09', 'QuotePreOpenFlag': False}}"
SBISILVER,SBI SILVER ETF,258.59,259.48,256.33,259,7.94,3.16,2383481,615867655.59,252.9219,362,86,251.06,0,164.16,-23.27,25-Feb-2025,27-Jan-2026,176.001705029838,-20.84110150065711,-,-,28.45303867403315,-201.1627906976744,https://nsearchives.nseindia.com/today/SBISILVEREQN.svg,https://nsearchives.nseindia.com/30d/SBISILVER-EQ.svg,https://nsearchives.nseindia.com/365d/SBISILVER-EQ.svg,EQ,"{'symbol': 'SBISILVER', 'companyName': 'SBI Mutual Fund - SBI SILVER ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF200KB1217', 'listingDate': '2024-07-08', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '27-Feb-2026 16:00:00', 'preOpenTime': '27-Feb-2026 09:07:09', 'QuotePreOpenFlag': False}}"
HDFCSILVER,HDFC Silver ETF,251,253.94,250.66,253.5,7.47,3.04,6794184,1717433831.52,247.2893,359,85.67,246.03,0,164.15,-23.75,25-Feb-2025,27-Jan-2026,175.00542417010197,-21.43189214318921,-,-,29.38718662952646,-195.9028831562974,https://nsearchives.nseindia.com/today/HDFCSILVEREQN.svg,https://nsearchives.nseindia.com/30d/HDFCSILVER-EQ.svg,https://nsearchives.nseindia.com/365d/HDFCSILVER-EQ.svg,EQ,"{'symbol': 'HDFCSILVER', 'companyName': 'HDFC Mutual Fund - HDFC Silver ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF179KC1DI2', 'listingDate': '2022-09-07', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '27-Feb-2026 16:00:00', 'preOpenTime': '27-Feb-2026 09:07:09', 'QuotePreOpenFlag': False}}"
ESILVER,Edelweiss Silver ETF,262.19,265,261.24,264.25,7.68,2.99,465823,123191550.58,257.7932,375,86.27,256.57,0,163.72,-23.45,25-Feb-2025,27-Jan-2026,174.4029075804777,-21.159411641853392,-,-,29.533333333333335,-206.3057841659905,https://nsearchives.nseindia.com/today/ESILVEREQN.svg,https://nsearchives.nseindia.com/30d/ESILVER-EQ.svg,https://nsearchives.nseindia.com/365d/ESILVER-EQ.svg,EQ,"{'symbol': 'ESILVER', 'companyName': 'Edelweiss Mutual Fund - Edelweiss Silver ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF754K01SF3', 'listingDate': '2023-11-24', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '27-Feb-2026 16:00:00', 'preOpenTime': '27-Feb-2026 09:07:09', 'QuotePreOpenFlag': False}}"
TATSILV,Tata Silver Exchange Traded Fund,25.56,25.9,25.36,25.68,0.74,2.97,137048473,3509811393.53,25.0913,35.1,8.56,24.94,0,165.04,-23.31,25-Feb-2025,27-Jan-2026,175.83243823845325,-21.03321033210333,-,-,26.83760683760684,-199.99999999999997,https://nsearchives.nseindia.com/today/TATSILVEQN.svg,https://nsearchives.nseindia.com/30d/TATSILV-EQ.svg,https://nsearchives.nseindia.com/365d/TATSILV-EQ.svg,EQ,"{'symbol': 'TATSILV', 'companyName': 'Tata Mutual Fund Tata Silver Exchange Traded Fund', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF277KA1984', 'listingDate': '2024-01-17', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '27-Feb-2026 16:00:00', 'preOpenTime': '27-Feb-2026 09:07:09', 'QuotePreOpenFlag': False}}"
AXISILVER,Axis Silver ETF,260.68,264.33,260.25,263.5,7.54,2.95,1015322,266268194.5,256.5681,390.01,86.48,255.96,0,166.35,-22.63,25-Feb-2025,27-Jan-2026,176.55331654072208,-20.347026994347207,-,-,32.43762980436399,-204.69472710453283,https://nsearchives.nseindia.com/today/AXISILVEREQN.svg,https://nsearchives.nseindia.com/30d/AXISILVER-EQ.svg,https://nsearchives.nseindia.com/365d/AXISILVER-EQ.svg,EQ,"{'symbol': 'AXISILVER', 'companyName': 'Axis Mutual Fund - Axis Silver ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF846K011K1', 'listingDate': '2022-09-27', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '27-Feb-2026 16:00:00', 'preOpenTime': '27-Feb-2026 09:07:09', 'QuotePreOpenFlag': False}}"
SILVERADD,DSP Silver ETF,254.36,256.06,252.89,255.2,7.27,2.93,637573,162510981.97,249.2295,390,84.26,247.93,0,165.36,-23.29,25-Feb-2025,27-Jan-2026,176.28017754682253,-21.037160803242678,-,-,34.56410256410257,-202.87206266318537,https://nsearchives.nseindia.com/today/SILVERADDEQN.svg,https://nsearchives.nseindia.com/30d/SILVERADD-EQ.svg,https://nsearchives.nseindia.com/365d/SILVERADD-EQ.svg,EQ,"{'symbol': 'SILVERADD', 'companyName': 'DSP  Mutual Fund - DSP Silver ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF740KA1RE3', 'listingDate': '2022-08-25', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '27-Feb-2026 16:00:00', 'preOpenTime': '27-Feb-2026 09:07:09', 'QuotePreOpenFlag': False}}"
SILVERBEES,Domestic price of Silver- based on LBMA Silver daily spot fixing price,251.11,253.8,250.41,253,6.94,2.82,57627112,14547964424.4,247.2425,360,77.55,246.06,0,164.84,-22.59,25-Feb-2025,27-Jan-2026,175.08970316407525,-20.402705678779302,-,-,29.72222222222222,-226.24113475177305,https://nsearchives.nseindia.com/today/SILVERBEESEQN.svg,https://nsearchives.nseindia.com/30d/SILVERBEES-EQ.svg,https://nsearchives.nseindia.com/365d/SILVERBEES-EQ.svg,EQ,"{'symbol': 'SILVERBEES', 'companyName': 'Nippon India Mutual Fund - Nippon India Silver ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF204KC1402', 'listingDate': '2022-02-07', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '27-Feb-2026 16:00:00', 'preOpenTime': '27-Feb-2026 09:07:09', 'QuotePreOpenFlag': False}}"
GROWWSLVR,Commodity-Silver,25.78,25.98,25.67,25.9,0.7,2.78,4422499,114277374.16,25.3263,36.3,9.42,25.2,0,0,-92.27,,27-Jan-2026,Infinity,-92.05618942461048,FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 10/- PER UNIT TO RE 1/- PER UNIT,06-FEB-26,28.650137741046827,-174.9469214437367,https://nsearchives.nseindia.com/today/GROWWSLVREQN.svg,https://nsearchives.nseindia.com/30d/GROWWSLVR-EQ.svg,,EQ,"{'symbol': 'GROWWSLVR', 'companyName': 'Groww Mutual Fund - Groww Silver ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF666M01OF4', 'listingDate': '2025-05-23', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '27-Feb-2026 16:00:00', 'preOpenTime': '27-Feb-2026 09:07:09', 'QuotePreOpenFlag': False}}"
