symbol,assets,open,high,low,ltP,chn,per,qty,trdVal,nav,wkhi,wklo,xDt,cAct,yPC,mPC,prevClose,stockIndClosePrice,perChange365d,perChange30d,date365dAgo,date30dAgo,CAct,MPC,XDt,YPC,nearWKH,nearWKL,chartTodayPath,chart30dPath,chart365dPath,series
SILVERBEES,Domestic price of Silver- based on LBMA Silver daily spot fixing price,254.8,254.8,251,251.5,-4.53,-1.77,18462426,4655669964.42,256.6535,360,93.65,-,-,165.99682707562135,9.006588072122053,256.03,0,172.31,12.35,23-May-2025,24-Apr-2026,-,9.006588072122053,-,165.99682707562135,30.13888888888889,-168.55312333155365,https://nsearchives.nseindia.com/today/SILVERBEESEQN.svg,https://nsearchives.nseindia.com/30d/SILVERBEES-EQ.svg,https://nsearchives.nseindia.com/365d/SILVERBEES-EQ.svg,EQ
LIQUIDBEES,Government Securities,1000,1000.01,999.99,1000,0.01,0.00,3960094,3960094000,1000,1029.99,969.99,19-SEP-17, EXIT OPTION PURSUANT TO CHANGE IN FUNDAMENTAL ATTRIBUTES OF ETF  ,0,0.0010000100000990915,999.99,0,0,0,23-May-2025,24-Apr-2026, EXIT OPTION PURSUANT TO CHANGE IN FUNDAMENTAL ATTRIBUTES OF ETF  ,0.0010000100000990915,19-SEP-17,0,2.9116787541626628,-3.093846328312662,https://nsearchives.nseindia.com/today/LIQUIDBEESEQN.svg,https://nsearchives.nseindia.com/30d/LIQUIDBEES-EQ.svg,https://nsearchives.nseindia.com/365d/LIQUIDBEES-EQ.svg,EQ
LIQUIDCASE,Zerodha Nifty 1D Rate Liquid ETF,114.24,114.24,114.22,114.23,0.01,0.01,19520829,2229669088.38,114.2166,114.24,102,-,-,5.0680647534952215,0.38667721240882125,114.22,0,5.07,0.39,23-May-2025,24-Apr-2026,-,0.38667721240882125,-,5.0680647534952215,0.008753501400552264,-11.990196078431376,https://nsearchives.nseindia.com/today/LIQUIDCASEEQN.svg,https://nsearchives.nseindia.com/30d/LIQUIDCASE-EQ.svg,https://nsearchives.nseindia.com/365d/LIQUIDCASE-EQ.svg,EQ
GOLDBEES,Gold,130.14,130.15,129.21,129.77,-0.74,-0.57,15190494,1970207071.8,130.2986,148.14,77.38,19-DEC-19, FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 100/- TO RS 1/-,62.68020559107436,4.442655935613691,130.51,0,64.14,5.3,23-May-2025,24-Apr-2026, FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 100/- TO RS 1/-,4.442655935613691,19-DEC-19,62.68020559107436,12.400432023761292,-67.7048332902559,https://nsearchives.nseindia.com/today/GOLDBEESEQN.svg,https://nsearchives.nseindia.com/30d/GOLDBEES-EQ.svg,https://nsearchives.nseindia.com/365d/GOLDBEES-EQ.svg,EQ
NIFTYBEES,Nifty 50,272.36,272.66,270.5,271.09,-0.9,-0.33,5483897,1489700620.05,272.341,302.25,251.7,19-DEC-19, FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 10/- TO RS 1/-,-3.1440923219836407,-0.5247321297519474,271.99,0,-2.29,0.33,23-May-2025,24-Apr-2026, FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 10/- TO RS 1/-,-0.5247321297519474,19-DEC-19,-3.1440923219836407,10.309346567411092,-7.703615415176793,https://nsearchives.nseindia.com/today/NIFTYBEESEQN.svg,https://nsearchives.nseindia.com/30d/NIFTYBEES-EQ.svg,https://nsearchives.nseindia.com/365d/NIFTYBEES-EQ.svg,EQ
TATSILV,Tata Silver Exchange Traded Fund,25.89,25.89,25.45,25.54,-0.44,-1.69,48103344,1230964572.96,26.0271,35.1,9.34,-,-,166.87565308254963,8.912579957356076,25.98,0,172.33,12.22,23-May-2025,24-Apr-2026,-,8.912579957356076,-,166.87565308254963,27.23646723646724,-173.4475374732334,https://nsearchives.nseindia.com/today/TATSILVEQN.svg,https://nsearchives.nseindia.com/30d/TATSILV-EQ.svg,https://nsearchives.nseindia.com/365d/TATSILV-EQ.svg,EQ
LIQUID1,Kotak Nifty 1D Rate Liquid ETF,1105.78,1105.94,1105.78,1105.92,0.15,0.01,889453,983663861.76,1105.7809,1136.18,1030.28,-,-,5.143465611986855,0.3912455406178387,1105.77,0,5.15,0.39,23-May-2025,24-Apr-2026,-,0.3912455406178387,-,5.143465611986855,2.663310390959178,-7.341693520208109,https://nsearchives.nseindia.com/today/LIQUID1EQN.svg,https://nsearchives.nseindia.com/30d/LIQUID1-EQ.svg,https://nsearchives.nseindia.com/365d/LIQUID1-EQ.svg,EQ
HDFCSILVER,HDFC Silver ETF,249.89,253.97,249.89,251.22,-5.08,-1.98,3480144,877031089.44,256.5595,359,93.3,-,-,165.1958196980893,8.880509686646734,256.3,0,171.99,12.48,23-May-2025,24-Apr-2026,-,8.880509686646734,-,165.1958196980893,30.022284122562674,-169.26045016077174,https://nsearchives.nseindia.com/today/HDFCSILVEREQN.svg,https://nsearchives.nseindia.com/30d/HDFCSILVER-EQ.svg,https://nsearchives.nseindia.com/365d/HDFCSILVER-EQ.svg,EQ
LIQUIDIETF,S&P BSE Liquid Rate Index,1000,1000.01,999.99,999.99,0,0.00,856829,856820431.71,1000,1029.99,969.99,-,-,0,0,999.99,0,0,0,23-May-2025,24-Apr-2026,-,0,-,0,2.9126496373751203,-3.0928153898493798,https://nsearchives.nseindia.com/today/LIQUIDIETFEQN.svg,https://nsearchives.nseindia.com/30d/LIQUIDIETF-EQ.svg,https://nsearchives.nseindia.com/365d/LIQUIDIETF-EQ.svg,EQ
TATAGOLD,Tata Gold Exchange Traded Fund,15.38,15.4,15.2,15.21,-0.1,-0.65,45803294,697126134.68,15.2906,17.7,8,-,-,62.32657417289223,4.392587508579276,15.31,0,63.57,5.3,23-May-2025,24-Apr-2026,-,4.392587508579276,-,62.32657417289223,14.067796610169482,-90.12500000000001,https://nsearchives.nseindia.com/today/TATAGOLDEQN.svg,https://nsearchives.nseindia.com/30d/TATAGOLD-EQ.svg,https://nsearchives.nseindia.com/365d/TATAGOLD-EQ.svg,EQ
