NAV,AUM,Expense_Ratio,Sctr_Expense_Ratio,Tracking_Error,Asset_Tracking_Error,Sector,ETFname,URL
—,  1.47cr,0.0012,0.0022,0.0020,0.0027,Nifty Bank,Edelweiss Nifty Bank ETF,https://www.tickertape.in/etfs/edelweiss-nifty-bank-etf-EDEW
364.16,  23.53cr,0.0022,0.0022,0.0253,0.0027,NIFTY IT Index,Axis Technology ETF Regular Growth,https://www.tickertape.in/etfs/axis-technology-etf-regular-growth-AXIST
173.26,  129.03cr,0.0041,0.0022,0.0010,0.0027,Nifty Alpha Low-Volatility 30 Index,ICICI Prudential Alpha Low Vol 30 ETF,https://www.tickertape.in/etfs/icici-prudential-alpha-low-vol-30-etf-ICIH
—,  62.88cr,0.0010,0.0022,0.0023,0.0027,Nifty 50,Invesco India Nifty Exchange Traded Fund,https://www.tickertape.in/etfs/invesco-india-nifty-50-etf-INVO
—,  105.53cr,0.0005,0.0022,0.0004,0.0027,SENSEX,HDFC Sensex 30 ETF,https://www.tickertape.in/etfs/hdfc-sensex-30-etf-HDSE
—,  2.89cr,0.0007,0.0022,0.0224,0.0027,Nifty 50,Edelweiss Nifty 50 ETF,https://www.tickertape.in/etfs/edelweiss-nifty-50-etf-EETS
—,  193.87cr,0.0016,0.0022,0.0009,0.0027,Nifty Bank,HDFC Banking ETF,https://www.tickertape.in/etfs/hdfc-banking-etf-HDFB
—,  377.19cr,0.0008,0.0022,0.0010,0.0027,Nifty 50,Tata Nifty 50 ETF,https://www.tickertape.in/etfs/tata-nifty-50-etf-TATN
—,  28.21cr,—,0.0022,0.0002,0.0027,Nifty Bank,UTI Bank ETF,https://www.tickertape.in/etfs/uti-bank-etf-UTIB
444.56,  605.53cr,—,0.0022,0.0003,0.0027,Nifty Next 50,UTI Nifty Next 50 ETF,https://www.tickertape.in/etfs/uti-nifty-next-50-etf-UTII
—,  930.72cr,0.0016,0.0017,0.0268,0.0152,GSEC10 NSE Index,LIC MF G-SEC Long Term ETF,https://www.tickertape.in/etfs/lic-mf-g-sec-long-term-etf-LICN
—,  14.82cr,—,0.0022,0.0005,0.0027,Nifty India Consumption Index,SBI ETF Consumption,https://www.tickertape.in/etfs/sbi-etf-consumption-SBIEF
—,"  1,141.91cr",0.0005,0.0022,0.0004,0.0027,Nifty 50,HDFC Nifty 50 ETF,https://www.tickertape.in/etfs/hdfc-nifty-50-etf-HDFN
187.38,"  2,699.01cr",0.0015,0.0022,0.0006,0.0027,Nifty Private Bank Index,ICICI Prudential Nifty Private Bank ETF,https://www.tickertape.in/etfs/icici-prudential-nifty-bank-etf-ICIV
1835.24,"  32,248.81cr",—,0.0022,0.0002,0.0027,Nifty 50,UTI Nifty 50 ETF,https://www.tickertape.in/etfs/uti-nifty-50-etf-UTIN
189.86,  4.34cr,—,0.0022,0.0004,0.0027,Nifty Private Bank Index,SBI ETF Private Bank,https://www.tickertape.in/etfs/sbi-etf-bank-SBIE
—,  4.97cr,—,0.0022,0.0007,0.0027,BSE Sensex Next 50,UTI Sensex Next 50 ETF,https://www.tickertape.in/etfs/uti-sensex-next-50-etf-UTIP
375.34,"  9,719.66cr",0.0018,0.0022,0.0003,0.0027,Nifty Bank,Nippon India Nifty Bank Bees ETF,https://www.tickertape.in/etfs/nippon-india-nifty-bank-bees-etf-BBES
372.22,"  5,925.32cr",0.0020,0.0022,0.0002,0.0027,Nifty Bank,SBI Nifty Bank ETF,https://www.tickertape.in/etfs/sbi-nifty-bank-etf-SBIF
371.42,"  3,178.48cr",0.0015,0.0022,0.0003,0.0027,Nifty Bank,ICICI Prudential Nifty Bank ETF,https://www.tickertape.in/etfs/icici-prudential-nifty-bank-etf-ICIA
—,  649.29cr,0.0010,0.0022,0.0005,0.0027,Nifty 50,LIC MF Nifty 50 ETF,https://www.tickertape.in/etfs/lic-mf-nifty-50-etf-LICO
—,  27.36cr,0.0005,0.0022,0.0015,0.0027,Nifty 50,Motilal Oswal Nifty 50 ETF,https://www.tickertape.in/etfs/motilal-oswal-nifty-50-etf-M50
—,  12.40cr,0.0009,0.0022,0.0006,0.0027,Nifty 50,Quantum Nifty 50 ETF,https://www.tickertape.in/etfs/quantum-nifty-50-etf-QUAN
521.91,  29.57cr,0.0108,0.0022,0.0020,0.0027,Nifty Infra,Nippon India Nifty Infra Bees ETF,https://www.tickertape.in/etfs/nippon-india-nifty-infra-bees-etf-IFRB
381.30,"  8,496.32cr",0.0018,0.0022,0.0006,0.0027,Nifty Bank,Kotak Nifty Bank ETF,https://www.tickertape.in/etfs/kotak-nifty-bank-etf-KOTM
—,  76.43cr,0.0022,0.0022,0.0037,0.0027,NIFTY IT Index,Kotak IT ETF,https://www.tickertape.in/etfs/kotak-it-etf-KOTA
—,  13.19cr,0.0010,0.0017,0.0269,0.0152,Nifty GS 8 13Yr,Nippon India G-SEC Long Term ETF,https://www.tickertape.in/etfs/nippon-india-g-sec-long-term-etf-NTFL
—,  675.25cr,0.0042,0.0022,0.0007,0.0027,Nifty 100 Low Volatility 30 Index,ICICI Prudential Nifty 100 Low Vol 30 ETF,https://www.tickertape.in/etfs/icici-prudential-nifty-100-low-vol-30-etf-IICI
